"cat","medcodeid","aurumterm","disease_num","score","term"
"Any malignancy","289582012","reticulosarcoma of lymph nodes of head, face and neck",11,2,"Reticulosarcoma of lymph nodes of head, face and neck"
"Any malignancy","711111000006117","melanoma in situ of lower limb, including hip",11,2,"Melanoma in situ of lower limb"
"Any malignancy","711081000006111","melanoma in situ of ear and external auricular canal",11,2,"Melanoma in situ of ear and external auricular canal"
"Any malignancy","340561000006114","[v]folow-up exam aft unspec treatment for malignant neoplasm",11,2,"[V]Follow-up examination after unspecified treatment for malignant neoplasm"
"Any malignancy","335843013","melanoma in situ of skin",11,2,"Melanoma in situ of skin"
"Any malignancy","1786811017","malignant neoplasm of urinary bladder",11,2,"Malignant neoplasm of urinary bladder"
"Any malignancy","307821000006112","[m]embryonal rhabdomyosarcoma",11,2,"Embryonal rhabdomyosarcoma"
"Any malignancy","724891000006113","malignant neoplasm of lip",11,2,"Malignant neoplasm of lip"
"Any malignancy","289193017","malignant neoplasm of isthmus of uterine body",11,2,"Malignant neoplasm of isthmus of uterine body"
"Any malignancy","290838018","carcinoma in situ of skin of upper arm",11,2,"Carcinoma in situ of skin of upper arm"
"Any malignancy","291434017","[m]villous adenomas and adenocarcinomas",11,2,"[M]Villous adenomas and adenocarcinomas"
"Any malignancy","153187010","carcinoma in situ of hepatic flexure of colon",11,2,"Carcinoma in situ of hepatic flexure of colon"
"Any malignancy","290835015","carcinoma in situ of skin of trunk nos",11,2,"Carcinoma in situ of skin of trunk NOS"
"Any malignancy","289885019","adult t-cell leukaemia",11,2,"Adult T-cell leukaemia"
"Any malignancy","153345016","carcinoma in situ of skin of perineum",11,2,"Carcinoma in situ of skin of perineum"
"Any malignancy","2168431000000112","nodular lymphocyte predominant hodgkin lymphoma",11,2,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
"Any malignancy","309131000006114","[m]giant cell tumour of bone, malignant",11,2,"Malignant giant cell tumour of bone"
"Any malignancy","290825014","carcinoma in situ of skin of trunk, excluding scrotum",11,2,"Carcinoma in situ of skin of trunk, excluding scrotum"
"Any malignancy","403755011","[m]osteomas and osteosarcomas",11,2,"[M]Osteomas and osteosarcomas"
"Any malignancy","289048011","malignant melanoma of thigh",11,2,"Malignant melanoma of thigh"
"Any malignancy","290818019","carcinoma in situ of skin of temple",11,2,"Carcinoma in situ of skin of temple"
"Any malignancy","289705014","hodgkin's disease nos of intrathoracic lymph nodes",11,2,"Hodgkin's disease of intrathoracic lymph nodes"
"Any malignancy","1230709016","[m]adenocarcinoma in situ in villous adenoma",11,2,"[M]Adenocarcinoma in situ in villous adenoma"
"Any malignancy","289345019","malignant neoplasm of thalamus",11,2,"Malignant neoplasm of thalamus"
"Any malignancy","1216362010","[v]personal history of monocytic leukaemia",11,2,"[V]Personal history of monocytic leukaemia"
"Any malignancy","290792013","carcinoma in situ of middle lobe bronchus and lung",11,2,"Carcinoma in situ of middle lobe bronchus and lung"
"Any malignancy","312051000006110","[m]malignant tumour, fusiform cell type",11,2,"[M]Malignant tumour, fusiform cell type"
"Any malignancy","313131000006113","[m]mucoepidermoid carcinoma",11,2,"Mucoepidermoid carcinoma"
"Any malignancy","153320019","carcinoma in situ of skin of buttock",11,2,"Carcinoma in situ of skin of buttock"
"Any malignancy","729421000006113","malig neop of connective and soft tissue of lower leg",11,2,"Malignant neoplasm of connective and soft tissue of lower leg"
"Any malignancy","153239014","carcinoma in situ of main bronchus",11,2,"Carcinoma in situ of main bronchus"
"Any malignancy","289001014","malignant neoplasm of connective and soft tissue of perineum",11,2,"Malignant neoplasm of connective and soft tissue of perineum"
"Any malignancy","289847017","malignant lymphoma nos of lymph nodes of multiple sites",11,2,"Malignant lymphoma of lymph nodes of multiple sites"
"Any malignancy","725761000006111","malignant neoplasm of genitourinary organ os",11,2,"Malignant neoplasm of genitourinary organ OS"
"Any malignancy","1232066010","[m]adenocarcinoma in situ in adenomatous polyp",11,2,"[M]Adenocarcinoma in situ in adenomatous polyp"
"Any malignancy","721171000006119","malignant neoplasm of testis",11,2,"Malignant tumour of testis"
"Any malignancy","153272014","carcinoma in situ of pancreas",11,2,"Carcinoma in situ of pancreas"
"Any malignancy","380094018","carcinoma of bone, connective tissue, skin and breast",11,2,"Carcinoma of bone, connective tissue, skin and breast"
"Any malignancy","309061000006116","[m]giant cell and spindle cell carcinoma",11,2,"[M]Giant cell and spindle cell carcinoma"
"Any malignancy","722981000006114","malignant neoplasm of pituitary gland",11,2,"Malignant neoplasm of pituitary gland"
"Any malignancy","290768017","carcinoma in situ of hepatic duct",11,2,"Carcinoma in situ of hepatic duct"
"Any malignancy","153200017","carcinoma in situ of intrahepatic bile ducts",11,2,"Carcinoma in situ of intrahepatic bile ducts"
"Any malignancy","81441000006112","unspec malig neop lymphoid/histiocytic of intrapelvic nodes",11,2,"Unspec malig neop lymphoid/histiocytic of intrapelvic nodes"
"Any malignancy","535331000006115","carcinoma in situ of biliary system",11,2,"Carcinoma in situ of biliary system"
"Any malignancy","288694017","malignant neoplasm of interlobular bile ducts",11,2,"Malignant neoplasm of interlobular bile ducts"
"Any malignancy","711121000006113","melanoma in situ of other and unspecified parts of face",11,2,"Melanoma in situ of other and unspecified parts of face"
"Any malignancy","1208876015","malignant neoplasm of eye",11,2,"Malignant neoplasm of eye"
"Any malignancy","288784017","malignant neoplasm of tympanic cavity",11,2,"Malignant neoplasm of tympanic cavity"
"Any malignancy","316831000006110","[m]spinous cell carcinoma",11,2,"[M]Spinous cell carcinoma"
"Any malignancy","157081013","mycosis fungoides of spleen",11,2,NA
"Any malignancy","289158012","malignant neoplasm of ectopic site of male breast",11,2,"Malignant neoplasm of ectopic site of male breast"
"Any malignancy","289318015","malignant neoplasm of extraocular muscle of orbit",11,2,"Malignant neoplasm of extraocular muscle of orbit"
"Any malignancy","312291000006112","[m]melanosarcoma nos",11,2,"[M]Melanosarcoma NOS"
"Any malignancy","155533012","malignant neoplasm of skin of finger",11,2,"Malignant neoplasm of skin of finger"
"Any malignancy","289259011","malignant neoplasm of other male genital organ nos",11,2,"Malignant neoplasm of other male genital organ NOS"
