"prodcodeid","termfromemis","groups","term"
"88541000033116","atrovent 20micrograms/dose autohaler (boehringer ingelheim ltd)",1,"Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd)"
"88241000033118","atrovent 20micrograms/dose inhaler (boehringer ingelheim ltd)",1,"Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd)"
"3075541000033113","atrovent 20micrograms/dose inhaler cfc free (boehringer ingelheim ltd)",1,"Atrovent 20micrograms/dose inhaler CFC free (Boehringer Ingelheim Ltd)"
"88341000033111","atrovent 40microgram aerocaps (boehringer ingelheim ltd)",1,"Atrovent 40microgram Aerocaps (Boehringer Ingelheim Ltd)"
"88441000033117","atrovent 40microgram aerocaps with aerohaler (boehringer ingelheim ltd)",1,"Atrovent 40microgram Aerocaps with Aerohaler (Boehringer Ingelheim Ltd)"
"89441000033110","atrovent forte 40micrograms/dose inhaler (boehringer ingelheim ltd)",1,"Atrovent Forte 40micrograms/dose inhaler (Boehringer Ingelheim Ltd)"
"772841000033113","ipratropium bromide 20micrograms/dose breath actuated inhaler",1,"Ipratropium bromide 20micrograms/dose breath actuated inhaler"
"772641000033112","ipratropium bromide 20micrograms/dose inhaler",1,"Ipratropium bromide 20micrograms/dose inhaler"
"3075441000033112","ipratropium bromide 20micrograms/dose inhaler cfc free",1,"Ipratropium bromide 20micrograms/dose inhaler CFC free"
"772941000033117","ipratropium bromide 40microgram inhalation powder capsules",1,"Ipratropium bromide 40microgram inhalation powder capsules"
"773041000033110","ipratropium bromide 40microgram inhalation powder capsules with device",1,"Ipratropium bromide 40microgram inhalation powder capsules with device"
"772541000033111","ipratropium bromide 40micrograms/dose inhaler",1,"Ipratropium bromide 40micrograms/dose inhaler"
"1714241000033112","airomir 100micrograms/dose autohaler (teva uk ltd)",2,"Airomir 100micrograms/dose Autohaler (Teva UK Ltd)"
"22741000033118","airomir 100micrograms/dose inhaler (teva uk ltd)",2,"Airomir 100micrograms/dose inhaler (Teva UK Ltd)"
"8491641000033114","airsalb 100micrograms/dose inhaler cfc free (sandoz ltd)",2,"AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd)"
"158441000033117","bricanyl 250micrograms/dose inhaler (astrazeneca uk ltd)",2,"Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd)"
"160941000033118","bricanyl 250micrograms/dose spacer inhaler (astrazeneca uk ltd)",2,"Bricanyl 250micrograms/dose spacer inhaler (AstraZeneca UK Ltd)"
"163641000033116","bricanyl 500micrograms/dose turbohaler (astrazeneca uk ltd)",2,"Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd)"
"160241000033110","bricanyl refill canister 250 micrograms/puff",2,"Bricanyl Refill canister 250 micrograms/puff"
"1579541000033118","bricanyl turbohaler breath-actuated dry powder inhaler 500 micrograms/dose",2,"Bricanyl Turbohaler Breath-Actuated Dry Powder Inhaler 500 micrograms/dose"
"330241000033113","combivent inhaler (boehringer ingelheim ltd)",2,"Combivent inhaler (Boehringer Ingelheim Ltd)"
"3198541000033119","easyhaler salbutamol sulfate 100micrograms/dose dry powder inhaler (orion pharma (uk) ltd)",2,"Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"3198641000033118","easyhaler salbutamol sulfate 200micrograms/dose dry powder inhaler (orion pharma (uk) ltd)",2,"Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"4499041000033118","novolizer salbulin inhalation cartridge + device 100 micrograms/dose",2,"Novolizer Salbulin Inhalation Cartridge + Device 100 micrograms/dose"
"4499141000033119","novolizer salbulin inhalation cartridge refill 100 micrograms/dose",2,"Novolizer Salbulin Inhalation Cartridge Refill 100 micrograms/dose"
"2622741000033114","pulvinal salbutamol 200micrograms/dose dry powder inhaler (chiesi ltd)",2,"Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2588241000033119","salamol 100micrograms/dose easi-breathe inhaler (teva uk ltd)",2,"Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)"
"2086541000033119","salamol 100micrograms/dose inhaler cfc free (teva uk ltd)",2,"Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)"
"1221341000033118","salamol easi-breathe breath-actuated inhaler 100 micrograms/puff",2,"Salamol Easi-Breathe Breath-actuated inhaler 100 micrograms/puff"
"1241241000033114","salamol inhaler 100 micrograms/puff",2,"Salamol Inhaler 100 micrograms/puff"
"1241341000033116","salbulin 100micrograms/dose inhaler (3m health care ltd)",2,"Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)"
"1768141000033111","salbulin cfc-free inhaler 100 micrograms/puff",2,"Salbulin Cfc-free inhaler 100 micrograms/puff"
"5393141000033116","salbulin novolizer 100micrograms/dose inhalation powder (mylan)",2,"Salbulin Novolizer 100micrograms/dose inhalation powder (Viatris UK Healthcare Ltd)"
"5393241000033111","salbulin novolizer 100micrograms/dose inhalation powder refill (mylan)",2,"Salbulin Novolizer 100micrograms/dose inhalation powder refill (Viatris UK Healthcare Ltd)"
"3163441000033113","salbutamol 100micrograms/dose / ipratropium 20micrograms/dose inhaler",2,"Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler"
"1221441000033112","salbutamol 100micrograms/dose breath actuated inhaler",2,"Salbutamol 100micrograms/dose breath actuated inhaler"
"1751341000033111","salbutamol 100micrograms/dose breath actuated inhaler cfc free",2,"Salbutamol 100micrograms/dose breath actuated inhaler CFC free"
"4498941000033110","salbutamol 100micrograms/dose dry powder inhalation cartridge",2,"Salbutamol 100micrograms/dose dry powder inhalation cartridge"
"4498841000033119","salbutamol 100micrograms/dose dry powder inhalation cartridge with device",2,"Salbutamol 100micrograms/dose dry powder inhalation cartridge with device"
"3343941000033118","salbutamol 100micrograms/dose dry powder inhaler",2,"Salbutamol 100micrograms/dose dry powder inhaler"
"1241441000033110","salbutamol 100micrograms/dose inhaler",2,"Salbutamol 100micrograms/dose inhaler"
"1222341000033110","salbutamol 100micrograms/dose inhaler cfc free",2,"Salbutamol 100micrograms/dose inhaler CFC free"
"3163541000033114","salbutamol 2.5mg/2.5ml / ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials",2,"Salbutamol 2.5mg/2.5ml / Ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials"
"2726241000033113","salbutamol 200 cyclocaps (teva uk ltd)",2,"Salbutamol 200 Cyclocaps (Teva UK Ltd)"
"1250141000033112","salbutamol 200microgram inhalation powder blisters",2,"Salbutamol 200microgram inhalation powder blisters"
"1228841000033115","salbutamol 200microgram inhalation powder blisters with device",2,"Salbutamol 200microgram inhalation powder blisters with device"
"1905641000033119","salbutamol 200microgram inhalation powder capsules",2,"Salbutamol 200microgram inhalation powder capsules"
"1907541000033112","salbutamol 200micrograms/dose dry powder inhaler",2,"Salbutamol 200micrograms/dose dry powder inhaler"
"2726341000033115","salbutamol 400 cyclocaps (teva uk ltd)",2,"Salbutamol 400 Cyclocaps (Teva UK Ltd)"
"1250241000033117","salbutamol 400microgram inhalation powder blisters",2,"Salbutamol 400microgram inhalation powder blisters"
"1228941000033111","salbutamol 400microgram inhalation powder blisters with device",2,"Salbutamol 400microgram inhalation powder blisters with device"
"1905741000033111","salbutamol 400microgram inhalation powder capsules",2,"Salbutamol 400microgram inhalation powder capsules"
