"prodcodeid","groups","term"
"88541000033116",1,"Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd)"
"88241000033118",1,"Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd)"
"3075541000033113",1,"Atrovent 20micrograms/dose inhaler CFC free (Boehringer Ingelheim Ltd)"
"88341000033111",1,"Atrovent 40microgram Aerocaps (Boehringer Ingelheim Ltd)"
"88441000033117",1,"Atrovent 40microgram Aerocaps with Aerohaler (Boehringer Ingelheim Ltd)"
"89441000033110",1,"Atrovent Forte 40micrograms/dose inhaler (Boehringer Ingelheim Ltd)"
"772841000033113",1,"Ipratropium bromide 20micrograms/dose breath actuated inhaler"
"772641000033112",1,"Ipratropium bromide 20micrograms/dose inhaler"
"3075441000033112",1,"Ipratropium bromide 20micrograms/dose inhaler CFC free"
"772941000033117",1,"Ipratropium bromide 40microgram inhalation powder capsules"
"773041000033110",1,"Ipratropium bromide 40microgram inhalation powder capsules with device"
"772541000033111",1,"Ipratropium bromide 40micrograms/dose inhaler"
"1714241000033112",2,"Airomir 100micrograms/dose Autohaler (Teva UK Ltd)"
"22741000033118",2,"Airomir 100micrograms/dose inhaler (Teva UK Ltd)"
"8491641000033114",2,"AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd)"
"158441000033117",2,"Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd)"
"160941000033118",2,"Bricanyl 250micrograms/dose spacer inhaler (AstraZeneca UK Ltd)"
"163641000033116",2,"Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd)"
"160241000033110",2,"Bricanyl Refill canister 250 micrograms/puff"
"1579541000033118",2,"Bricanyl Turbohaler Breath-Actuated Dry Powder Inhaler 500 micrograms/dose"
"330241000033113",2,"Combivent inhaler (Boehringer Ingelheim Ltd)"
"3198541000033119",2,"Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"3198641000033118",2,"Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)"
"4499041000033118",2,"Novolizer Salbulin Inhalation Cartridge + Device 100 micrograms/dose"
"4499141000033119",2,"Novolizer Salbulin Inhalation Cartridge Refill 100 micrograms/dose"
"2622741000033114",2,"Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2588241000033119",2,"Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)"
"2086541000033119",2,"Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)"
"1221341000033118",2,"Salamol Easi-Breathe Breath-actuated inhaler 100 micrograms/puff"
"1241241000033114",2,"Salamol Inhaler 100 micrograms/puff"
"1241341000033116",2,"Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)"
"1768141000033111",2,"Salbulin Cfc-free inhaler 100 micrograms/puff"
"5393141000033116",2,"Salbulin Novolizer 100micrograms/dose inhalation powder (Viatris UK Healthcare Ltd)"
"5393241000033111",2,"Salbulin Novolizer 100micrograms/dose inhalation powder refill (Viatris UK Healthcare Ltd)"
"3163441000033113",2,"Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler"
"1221441000033112",2,"Salbutamol 100micrograms/dose breath actuated inhaler"
"1751341000033111",2,"Salbutamol 100micrograms/dose breath actuated inhaler CFC free"
"4498941000033110",2,"Salbutamol 100micrograms/dose dry powder inhalation cartridge"
"4498841000033119",2,"Salbutamol 100micrograms/dose dry powder inhalation cartridge with device"
"3343941000033118",2,"Salbutamol 100micrograms/dose dry powder inhaler"
"1241441000033110",2,"Salbutamol 100micrograms/dose inhaler"
"1222341000033110",2,"Salbutamol 100micrograms/dose inhaler CFC free"
"3163541000033114",2,"Salbutamol 2.5mg/2.5ml / Ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials"
"2726241000033113",2,"Salbutamol 200 Cyclocaps (Teva UK Ltd)"
"1250141000033112",2,"Salbutamol 200microgram inhalation powder blisters"
"1228841000033115",2,"Salbutamol 200microgram inhalation powder blisters with device"
"1905641000033119",2,"Salbutamol 200microgram inhalation powder capsules"
"1907541000033112",2,"Salbutamol 200micrograms/dose dry powder inhaler"
"2726341000033115",2,"Salbutamol 400 Cyclocaps (Teva UK Ltd)"
"1250241000033117",2,"Salbutamol 400microgram inhalation powder blisters"
"1228941000033111",2,"Salbutamol 400microgram inhalation powder blisters with device"
"1905741000033111",2,"Salbutamol 400microgram inhalation powder capsules"
"2174141000033117",2,"Salbutamol 95micrograms/dose dry powder inhaler"
"1206041000033115",2,"Salbutamol Accuhaler 200 micrograms/dose"
"1206241000033111",2,"Salbutamol Aerosol inhalation 100 micrograms/metered inhalation"
"1207741000033115",2,"Salbutamol Autohaler 100 micrograms/puff"
"2864041000033119",2,"Salbutamol Breath Actuated Pressurised Inhalation 100 micrograms/actuation"
"2952141000033110",2,"Salbutamol Breath Actuated Pressurised Inhalation, Cfc-free 100 micrograms/actuation"
"1221541000033113",2,NA
"1228341000033112",2,"Salbutamol Cyclocaps 200 micrograms"
"1228441000033118",2,"Salbutamol Cyclocaps 400 micrograms"
"1913441000033115",2,NA
"1903141000033113",2,NA
"1907341000033117",2,"Salbutamol Dry powder disks + disk inhaler 200 micrograms"
"1907441000033111",2,"Salbutamol Dry powder disks + disk inhaler 400 micrograms"
"1907641000033113",2,"Salbutamol Dry powder for inhalation 400 micrograms/dose"
"3344041000033116",2,"Salbutamol Dry Powder Inhaler 200 micrograms/actuation, 200 dose"
"1241941000033117",2,"Salbutamol Inhaler with vortex generating actuator 100 micrograms/dose"
"1905441000033116",2,"Salbutamol Insufflator type 4"
