"prodcodeid","dmdid","bnfcode","termfromemis","dmdproductdescription","bnfname","productname","dmdlevel","vpid","atc","formulation","routeofadministration","drugsubstancename","substancestrength","category","term"
"10211941000033118","28789211000001106","1001030AAAAAAAA","apremilast 30mg tablets","apremilast 30mg tablets","apremilast 30mg tablets","apremilast 30mg tablets","VMP","28789211000001106","L04AA32","tablet","oral","apremilast","30.000mg","pde4i","Apremilast 30mg tablets"
"10212041000033112","28770611000001108","1001030AABBAAAA","otezla 30mg tablets (amgen ltd)","otezla 30mg tablets (amgen ltd)","otezla 30mg tablets","otezla 30mg tablets","AMP","28789211000001106","L04AA32","tablet","oral","apremilast","30.000mg","pde4i","Otezla 30mg tablets (Amgen Ltd)"
"10212141000033111","28808411000001103","0603020T0AABKBK","prednisolone 10mg tablets","prednisolone 10mg tablets","prednisolone 10mg tablets","prednisolone 10mg tablets","VMP","28808411000001103","H02AB06","tablet","oral","prednisolone","10.000mg","ocs","Prednisolone 10mg tablets"
"10212341000033114","28808711000001109","0603020T0AAAXAX","prednisolone 20mg tablets","prednisolone 20mg tablets","prednisolone 20mg tablets","prednisolone 20mg tablets","VMP","28808711000001109","H02AB06","tablet","oral","prednisolone","20.000mg","ocs","Prednisolone 20mg tablets"
"10212441000033115","28798211000001102","0603020T0BLAAAB","pevanti 2.5mg tablets (advanz pharma)","pevanti 2.5mg tablets (advanz pharma)","pevanti 2.5mg tablets","pevanti 2.5mg tablets","AMP","28808611000001100","H02AB06","tablet","oral","prednisolone","2.500mg","ocs","Pevanti 2.5mg tablets (Advanz Pharma)"
"10212541000033119","28799011000001102","0603020T0BLABAC","pevanti 5mg tablets (advanz pharma)","pevanti 5mg tablets (advanz pharma)","pevanti 5mg tablets","pevanti 5mg tablets","AMP","325427002","H02AB06","tablet","oral","prednisolone","5.000mg","ocs","Pevanti 5mg tablets (Advanz Pharma)"
"10212641000033118","28799311000001104","0603020T0BLACBK","pevanti 10mg tablets (advanz pharma)","pevanti 10mg tablets (advanz pharma)","pevanti 10mg tablets","pevanti 10mg tablets","AMP","28808411000001103","H02AB06","tablet","oral","prednisolone","10.000mg","ocs","Pevanti 10mg tablets (Advanz Pharma)"
"10212741000033110","28799611000001109","0603020T0BLADAX","pevanti 20mg tablets (advanz pharma)","pevanti 20mg tablets (advanz pharma)","pevanti 20mg tablets","pevanti 20mg tablets","AMP","28808711000001109","H02AB06","tablet","oral","prednisolone","20.000mg","ocs","Pevanti 20mg tablets (Advanz Pharma)"
"10212941000033113","28799811000001108","0603020T0BLAEAR","pevanti 25mg tablets (advanz pharma)","pevanti 25mg tablets (advanz pharma)","pevanti 25mg tablets","pevanti 25mg tablets","AMP","325450008","H02AB06","tablet","oral","prednisolone","25.000mg","ocs","Pevanti 25mg tablets (Advanz Pharma)"
"1022341000033117","3245011000001103","0301011E0BCABAC","oxis 12 turbohaler (astrazeneca uk ltd)","oxis 12 turbohaler (astrazeneca uk ltd)","oxis 12 turbohaler","oxis 12 turbohaler","AMP","39113011000001109","R03AC13","inhalation powder","inhalation","formoterol fumarate dihydrate","12.000microgram/1.000dose","laba","Oxis 12 Turbohaler (AstraZeneca UK Ltd)"
"1022441000033111","3243511000001107","0301011E0BCAAAB","oxis 6 turbohaler (astrazeneca uk ltd)","oxis 6 turbohaler (astrazeneca uk ltd)","oxis 6 turbohaler","oxis 6 turbohaler","AMP","39112911000001101","R03AC13","inhalation powder","inhalation","formoterol fumarate dihydrate","6.000microgram/1.000dose","laba","Oxis 6 Turbohaler (AstraZeneca UK Ltd)"
"10266841000033117","29424511000001109","0603020T0AABLBL","prednisolone 5mg/5ml oral solution unit dose","prednisolone 5mg/5ml oral solution unit dose","prednisolone 5mg/5ml oral solution unit dose","prednisolone 5mg/5ml oral solution unit dose","VMP","29424511000001109","H02AB06","oral solution","oral","prednisolone","1.000mg/1.000ml","ocs","Prednisolone 5mg/5ml oral solution unit dose"
"10387141000033115","29782111000001107","0302000N0BFAABF","sirdupla 25micrograms/dose / 125micrograms/dose inhaler (mylan)","sirdupla 25micrograms/dose / 125micrograms/dose inhaler (viatris uk healthcare ltd)","sirdupla 25micrograms/dose / 125micrograms/dose inhaler","sirdupla 25micrograms/dose / 125micrograms/dose inhaler","AMP","39111111000001109","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"10387241000033110","29782511000001103","0302000N0BFABBG","sirdupla 25micrograms/dose / 250micrograms/dose inhaler (mylan)","sirdupla 25micrograms/dose / 250micrograms/dose inhaler (viatris uk healthcare ltd)","sirdupla 25micrograms/dose / 250micrograms/dose inhaler","sirdupla 25micrograms/dose / 250micrograms/dose inhaler","AMP","39111311000001106","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)"
"10494341000033117","29904211000001102","0603020T0AABMBM","prednisolone 10mg/ml oral solution sugar free","prednisolone 10mg/ml oral solution sugar free","prednisolone 10mg/ml oral solution sugar free","prednisolone 10mg/ml oral solution sugar free","VMP","29904211000001102","H02AB06","oral solution","oral","prednisolone","10.000mg/1.000ml","ocs","Prednisolone 10mg/ml oral solution sugar free"
"10589141000033112","29987211000001108","0301040X0AAAAAA","tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free","tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free","tiotropium brom 2.5microg/olodaterol 2.5microg/dose soln&dev","tiotropium bromide 2.5micrograms/dose / olodaterol 2.5micrograms/dose solution for inhalation cartridge with device cfc free","VMP","29987211000001108","R03AL06","inhalation solution","inhalation","olodaterol hydrochloride/ tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","laba-lama","Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose solution for inhalation cartridge with device CFC free"
"10589241000033117","29971311000001100","0301040X0BBAAAA","spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)","spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (boehringer ingelheim ltd)","spiolto respimat 2.5microg/dose/2.5microg/dose soln","spiolto respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device","AMP","29987211000001108","R03AL06","inhalation solution","inhalation","olodaterol hydrochloride/ tiotropium bromide","2.500microgram/1.000dose + 2.500microgram/1.000dose","laba-lama","Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd)"
"10715041000033111","30950311000001106","0302000N0BGAAAZ","airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)","airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (sandoz ltd)","airflusal forspiro 50microg / 500microg/dose dry pdr inh","airflusal forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler","AMP","38897411000001103","R03AK06","inhalation powder","inhalation","fluticasone propionate/ salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","laba-ics","AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd)"
"10735041000033115","31087511000001105","0302000C0AACACA","beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler","beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler","beclometasone 200microg/formoterol 6microg/dose dry pdr inh","beclometasone 200micrograms/dose / formoterol 6micrograms/dose dry powder inhaler","VMP","31087511000001105","R03AK08","inhalation powder","inhalation","beclometasone dipropionate/ formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler"
"10735141000033116","31063111000001106","0302000C0BRABCA","fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (chiesi ltd)","fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (chiesi ltd)","fostair nexthaler 200microg/dose / 6microg/dose dry pdr inh","fostair nexthaler 200micrograms/dose / 6micrograms/dose dry powder inhaler","AMP","31087511000001105","R03AK08","inhalation powder","inhalation","beclometasone dipropionate/ formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)"
"10740041000033111","31087411000001106","0302000C0AABZBZ","beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","beclometasone 200microg/formoterol 6microg/dose inh cfc free","beclometasone 200micrograms/dose / formoterol 6micrograms/dose inhaler cfc free","VMP","31087411000001106","R03AK08","pressurised inhalation","inhalation","beclometasone dipropionate/ formoterol fumarate dihydrate","200.000microgram + 6.000microgram","laba-ics","Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free"
