"prodcodeid","productname","groups","dmdid","formulation","routeofadministration","drugsubstancename","substancestrength","bnfchapter","drugissues","termfromemis","term"
"220841000033117",NA,13,"","","",NA,NA,"",NA,"",NA
"5140041000033112",NA,6,"","","",NA,NA,"",NA,"",NA
"2509441000033112",NA,11,"","","",NA,NA,"",NA,"",NA
"7860041000033110",NA,13,"","","",NA,NA,"",NA,"",NA
"581641000033113",NA,9,"","","",NA,NA,"",NA,"",NA
"497441000033111",NA,6,"","","",NA,NA,"",NA,"",NA
"1903141000033113",NA,1,"","","",NA,NA,"",NA,"",NA
"1580041000033111",NA,9,"","","",NA,NA,"",NA,"",NA
"1429441000033110",NA,1,"","","",NA,NA,"",NA,"",NA
"227941000033112",NA,13,"","","",NA,NA,"",NA,"",NA
"174441000033112",NA,9,"","","",NA,NA,"",NA,"",NA
"231241000033113",NA,13,"","","",NA,NA,"",NA,"",NA
"1067741000033113",NA,13,"","","",NA,NA,"",NA,"",NA
"1913441000033115",NA,1,"","","",NA,NA,"",NA,"",NA
"232241000033119",NA,13,"","","",NA,NA,"",NA,"",NA
"231141000033118",NA,13,"","","",NA,NA,"",NA,"",NA
"497341000033117",NA,6,"","","",NA,NA,"",NA,"",NA
"5140741000033110",NA,7,"","","",NA,NA,"",NA,"",NA
"1205941000033113",NA,6,"","","",NA,NA,"",NA,"",NA
"8029141000033118",NA,13,"","","",NA,NA,"",NA,"",NA
"2637041000033111",NA,13,"","","",NA,NA,"",NA,"",NA
"5140141000033111",NA,6,"","","",NA,NA,"",NA,"",NA
"2831741000033110",NA,13,"","","",NA,NA,"",NA,"",NA
"1051141000033110",NA,13,"","","",NA,NA,"",NA,"",NA
"235041000033119",NA,13,"","","",NA,NA,"",NA,"",NA
"234941000033119",NA,13,"","","",NA,NA,"",NA,"",NA
"2494741000033111",NA,13,"","","",NA,NA,"",NA,"",NA
"232041000033110",NA,13,"","","",NA,NA,"",NA,"",NA
"232141000033114",NA,13,"","","",NA,NA,"",NA,"",NA
"5331141000033112",NA,13,"","","",NA,NA,"",NA,"",NA
"2509641000033114",NA,11,"","","",NA,NA,"",NA,"",NA
"498041000033115",NA,6,"","","",NA,NA,"",NA,"",NA
"581541000033112",NA,9,"","","",NA,NA,"",NA,"",NA
"2831841000033117",NA,13,"","","",NA,NA,"",NA,"",NA
"577341000033117",NA,9,"","","",NA,NA,"",NA,"",NA
"472341000033113",NA,13,"","","",NA,NA,"",NA,"",NA
