"term","medcodeid","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","emiscodecategoryid","cough","acute_cough"
"[d]cough","317403015","R062.00","49727002","82824016",32,1,1
"[d]episodic dry cough","2168391000000116","R062100","810511000000109","2168391000000116",32,1,1
"barking cough","30371011","171K.00","17986004","30371011",27,1,1
"bronchial cough","252360013","1719.11","161929000","252360013",27,1,1
"c/o - cough","407081018","171..11","272039006","407081018",27,1,1
"chesty cough","252359015","1719.00","161929000","252359015",27,1,1
"chronic cough","113213012","171A.00","68154008","113213012",27,1,1
"cigarette cough","3256651000006113","","46802002","494650019",32,1,1
"complaining of cough","5533011000006112","","272039006","2669603018",27,1,1
"cough","961781000006119","","961781000006103","961781000006119",27,1,1
"cough symptom nos","252366019","171Z.00","272039006","407081018",27,1,1
"cough with fever","216653013","171F.00","135883003","216653013",27,1,1
"coughing up phlegm","598431000006113","1716.11","28743005","48123018",27,1,1
"daytime cough","1780331000006117","","1780331000006101","1780331000006117",27,1,1
"dry cough","20419011","1712.00","11833005","20419011",27,1,1
"episodic dry cough","8260311000006113","","810511000000109","2114811000000111",32,1,1
"evening cough","252364016","171D.00","161933007","252364016",27,1,1
"history of productive cough","1819551000006111","","1819551000006107","1819551000006111",32,1,1
"moist cough","2961951000006114","","28743005","48125013",27,1,1
"morning cough","252363010","171C.00","161932002","252363010",27,1,1
"night cough present","252357018","1717.00","161927003","252357018",27,1,1
"nocturnal cough / wheeze","252406018","173B.00","161947006","252406018",27,1,1
"non-productive cough","11823221000006114","","11833005","3516867016",27,1,1
"observation of cough","3304991000006116","","49727002","1230769019",27,1,1
"persistent cough","423230012","171B.00","284523002","423230012",27,1,1
"productive cough -clear sputum","252351017","1713.00","161923004","252351017",27,1,1
"productive cough -green sputum","252352012","1714.00","161924005","252352012",27,1,1
"productive cough nos","397882011","1716.00","28743005","48123018",27,1,1
"productive cough-yellow sputum","252353019","1715.00","161925006","252353019",27,1,1
"robitussin chesty cough","806931000033118","","806931000033102","806931000033118",31,1,1
"smokers' cough","78013015","H310100","46802002","78013015",32,1,1
"unexplained cough","459738011","171E.00","315246003","459738011",27,1,1
"unproductive cough","2688441000006111","","11833005","20420017",27,1,1
"cough","82824016","171..00","49727002","82824016",27,1,1
