"medcodeid","diabetes","term"
"317347010",1,"[D]Gangrene of toe in diabetic"
"317348017",1,"[D]Widespread diabetic foot gangrene"
"905621000006113",1,"[RFC] Diabetes"
"908831000006118",1,"[RFC] Diabetes mellitus"
"910501000006113",1,"[RFC] Diabetic foot ulcer"
"906711000006116",1,"[RFC] Diabetic foot/leg ulcer"
"910491000006117",1,"[RFC] Diabetic leg ulcer"
"377001000006117",1,"[X]Diabetes mellitus"
"305158015",1,"Diabetic glomerulopathy"
"308110013",1,"Pre-existing diabetes mellitus"
"293759015",1,"Diabetic renal disease"
"12703991000006112",1,NA
"356119011",1,"Abnormal metabolic state in diabetes mellitus"
"3636752017",1,"Acute complication co-occurrent and due to diabetes mellitus"
"3636751012",1,"Acute complication with diabetes mellitus"
"297550019",1,"Acute painful diabetic neuropathy"
"297755010",1,"Advanced diabetic maculopathy"
"455408014",1,"Advanced diabetic retinal disease"
"12220691000006114",1,NA
"12220701000006114",1,NA
"12224581000006118",1,NA
"12224591000006115",1,NA
"7966931000006114",1,"Angina associated with type 2 diabetes mellitus"
"7966941000006116",1,NA
"297552010",1,"Asymptomatic diabetic neuropathy"
"12220661000006118",1,NA
"12220671000006113",1,NA
"456686014",1,"Attending diabetes clinic"
"285751016",1,"Attends diabetes monitoring"
"1858811000006114",1,"AURAS-AF - consider the patient to have diabetes"
"12186021000006113",1,NA
"1230890017",1,"Autonomic neuropathy due to diabetes"
"12186011000006117",1,NA
"1785332013",1,"Background diabetic retinopathy"
"6515211000006114",1,"BDR - Background diabetic retinopathy"
"19931010",1,"Brittle diabetes"
"2683561000006119",1,"Brittle diabetes mellitus"
"5754581000006110",1,"Brittle type 1 diabetes mellitus"
"5754611000006119",1,NA
"12183221000006110",1,NA
"12336121000006110",1,NA
"12332111000006115",1,NA
"12183231000006113",1,NA
"12336111000006119",1,NA
"12332101000006118",1,NA
"308360012",1,"Cellulitis in diabetic foot"
"297551015",1,"Chronic painful diabetic neuropathy"
"354508018",1,"Clinical diabetic nephropathy"
"12085941000006117",1,NA
"12085951000006115",1,NA
"12085911000006116",1,NA
"12085901000006119",1,NA
"12085931000006110",1,NA
"12085921000006112",1,"Clinically significant macular oedema of left eye due to diabetes mellitus"
"12085891000006118",1,"Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus"
"12705021000006112",1,"Clinically significant macular oedema of right eye due to diabetes mellitus"
"6964251000006119",1,NA
"5109831000006114",1,NA
"356115017",1,NA
"881491000006119",1,"Diabetes + eye manifestation"
"881481000006117",1,"Diabetes + nephropathy"
"881501000006110",1,"Diabetes + neuropathy"
"881521000006117",1,"Diabetes + other complications"
"881511000006113",1,"Diabetes + periph.circulat.dis"
"216195015",1,"Diabetes care by hospital only"
"2548271013",1,"Agreeing on diabetes care plan"
"264726017",1,"Diabetes management plan given"
"1488441010",1,"Diabetes medication review"
"292496015",1,"Diabetes mellitus with nephropathy NOS"
"121589010",1,"Diabetes mellitus"
"881441000006111",1,"Diabetes mellitus - juvenile"
"616151000006118",1,"Diabetes mellitus - unspec whether in pregnancy/puerperium"
"881451000006113",1,"Diabetes mellitus -adult onset"
"1220321013",1,"Diabetes mellitus arising in pregnancy"
"10928019",1,"Diabetes mellitus associated with genetic syndrome"
"483882011",1,"Maturity-onset diabetes of the young"
"840971000006112",1,"Diabetes mellitus autosomal dominant type II"
