"snomedctconceptid","medcodeid","cleansedreadcode","snomedctdescriptionid","term","lethargy","search_stage","lethargy_yes"
"271782001","316996017","R000000","406711011","drowsiness",1,1,1
"271795006","317063014","R007.00","406741013","[d]malaise and fatigue",1,1,1
"84229001","317065019","R007100","139690015","[d]fatigue",1,1,1
"214264003","317067010","R007300","326229014","[d]lethargy",1,1,1
"271795006","317071013","R007z00","406741013","[d]malaise and fatigue nos",1,1,1
"84229001","3870351000006114","","505979013","weariness",1,2,1
"272060000","407105011","168..11","407105011","fatigue - symptom",1,1,1
"214264003","4875741000006118","","326230016","lethargic",1,2,1
"84229001","667321000006111","1682.00","139690015","fatigue",1,1,1
"214264003","747481000006115","168..12","326229014","lethargy",1,1,1
