"medcodeid","term","mrc_value","breathless","mrc","cleansedreadcode","snomedctconceptid","snomedctdescriptionid"
"11932081000006117","",5,"definite",1,"","",""
"3488361000006114","",NA,"definite",NA,"","",""
"6519361000006116","",5,"definite",1,"","",""
"6519331000006113","",4,"definite",1,"","",""
"2010801000006119","",NA,"definite",NA,"","",""
"4554061000006119","",NA,"definite",NA,"","",""
"2011001000006117","",NA,"definite",NA,"","",""
"4554091000006110","",NA,"definite",NA,"","",""
"6519301000006117","",3,"definite",1,"","",""
"4545451000006110","",NA,"definite",NA,"","",""
"11932071000006115","",5,"definite",1,"","",""
"4554051000006116","",NA,"definite",NA,"","",""
"5258881000006113","",NA,"definite",NA,"","",""
"6519271000006119","",2,"definite",1,"","",""
"1861171000006111","",NA,"definite",NA,"","",""
"6519351000006118","",5,"definite",1,"","",""
"2010961000006114","",NA,"definite",NA,"","",""
"4554111000006118","",NA,"definite",NA,"","",""
"6519231000006117","",1,"definite",1,"","",""
"6519281000006116","",2,"definite",1,"","",""
"3488391000006118","",NA,"definite",NA,"","",""
"6519321000006110","",4,"definite",1,"","",""
"1984321000006116","manchester triage - shortness of breath in adult",NA,"possible",NA,"","1984321000006100","1984321000006116"
"252385016","breathless - moderate exertion",NA,"definite",NA,"1732.00","161939006","252385016"
"2002201000006117","mrc (medical research council) breathlessness scale grade 5b",5,"definite",1,"","1061001000000106","2667031000000117"
"1780470010","borg breathlessness score: 3 moderate",NA,"definite",NA,"173R.00","401281000","1780470010"
"1485148014","mrc breathlessness scale: grade 3",3,"definite",1,"173J.00","391124000","1485148014"
"397890011","shortness of breath",NA,"definite",NA,"1739.00","267036007","397890011"
"4554081000006112","o/e - orthopnea",NA,"definite",NA,"","162891007","253891018"
"1812891000006110","referral to british lung foundation breathe easy support group",NA,"definite",NA,"8Hlj.00","823461000000106","2143431000000113"
"1780479011","borg breathlessness score: 7 very severe",NA,"definite",NA,"173W.00","401290007","1780479011"
"2287881000000112","breathlessness causing difficulty eating",NA,"definite",NA,"173g.00","702581006","2390171000000112"
"140461000006116","dyspnoea",NA,"definite",NA,"173..13","267036007","397886014"
"252386015","breathless - mild exertion",NA,"definite",NA,"1733.00","161940008","252386015"
"252387012","breathless - at rest",NA,"definite",NA,"1734.00","161941007","252387012"
"3602451000006118","acquired respiratory distress syndrome",NA,"possible",NA,"","67782005","500838011"
"253889014","o/e - dyspnoea",NA,"definite",NA,"2322.00","162890008","253889014"
"1807851000006117","o/e - dyspnoea on exertion",NA,"definite",NA,"","1807851000006101","1807851000006117"
"6519221000006115","medical research council (mrc) breathlessness scale: grade 1",1,"definite",1,"","391120009","2621393019"
"198599018","paroxysmal nocturnal dyspnoea",NA,"definite",NA,"1736.00","55442000","198599018"
"1780475017","borg breathlessness score: 6 severe (+)",NA,"definite",NA,"173V.00","401286005","1780475017"
"5497761000006115","sob - shortness of breath",NA,"definite",NA,"","267036007","397889019"
"910921000006114","borg breathlessness score: 0.5 very, very slight (just noticeable)",NA,"definite",NA,"173N.00","401323002","1780510017"
"253892013","o/e - respiratory distress",NA,"definite",NA,"2324.00","162892000","253892013"
"3400191000006118","paroxysmal nocturnal dyspnea",NA,"definite",NA,"","55442000","92176018"
"1780469014","borg breathlessness score: 2 slight",NA,"definite",NA,"173Q.00","401280004","1780469014"
"3488351000006112","breathlessness on exertion",NA,"definite",NA,"","60845006","101103010"
"175421000006117","respiratory distress syndrome",NA,"definite",NA,"Q30..00","46775006","77969012"
"4545441000006113","sobar - shortness of breath at rest",NA,"definite",NA,"","161941007","252388019"
"317392015","[d]shortness of breath",NA,"definite",NA,"R060800","267036007","397890011"
"5530001000006115","distressed breathing",NA,"definite",NA,"","271825005","406804016"
"317390011","respiratory distress",NA,"definite",NA,"R060600","271825005","406803010"
"397888010","breathlessness",NA,"definite",NA,"173..00","267036007","397888010"
"4545421000006118","dyspnoea at rest",NA,"definite",NA,"","161941007","252389010"
"3602471000006111","ards - adult respiratory distress syndrome",NA,"possible",NA,"","67782005","500840018"
"5497731000006112","dyspnea",NA,"definite",NA,"","267036007","397885013"
"525691000006114","breathlessness lying flat",NA,"definite",NA,"1735.00","62744007","1232389014"
"3400211000006117","pnd - paroxysmal nocturnal dyspnea",NA,"definite",NA,"","55442000","1218234012"
"3488381000006116","exertional dyspnoea",NA,"definite",NA,"","60845006","199001013"
"5004081000006113","dib - difficulty in breathing",NA,"definite",NA,"","230145002","344919015"
"2002191000006115","mrc (medical research council) breathlessness scale grade 5a",5,"definite",1,"","1060991000000107","2667011000000113"
"982351000006118","dyspnoea",NA,"definite",NA,"","982351000006102","982351000006118"
"1780482018","borg breathlessness score: 10 maximal",NA,"definite",NA,"173a.00","401293009","1780482018"
"463141000006111","adult respiratory distress syndrome",NA,"possible",NA,"H585.11","67782005","112574019"
"317383018","orthopnea",NA,"definite",NA,"R060200","62744007","104281018"
"3400201000006115","pnd - paroxysmal nocturnal dyspnoea",NA,"definite",NA,"","55442000","1216744016"
"3602361000006110","acute respiratory distress syndrome",NA,"possible",NA,"","67782005","3323230018"
