"medcodeid","observations","originalreadcode","cleansedreadcode","term","snomedctconceptid","snomedctdescriptionid","emiscodecategoryid","osteoporosis"
"6515141000006116",10,"^ESCTOS651514","","Osteoporosis due to corticosteroid","390833005","3300678017","Conditions, operations and procedures",1
"7567881000006113",10,"^ESCTOS756788","","Osteoporosis clinic","702895002","3006469014","Unset",1
"1485039019",40,"9Od6","9Od6.00","Osteoporosis monitoring verbal invitation","391010002","1485039019","Administration, documents and attachments",1
"1485059015",40,"66aB","66aB.00","Osteoporosis - no treatment response","391030003","1485059015","Health management, screening and monitoring",1
"1823981000006115",80,"EMISNQOS5","","Osteoporosis confirmed","1823981000006104","1823981000006115","Symptoms and Findings",1
"1485038010",100,"9Od5","9Od5.00","Osteoporosis monitoring third letter","391009007","1485038010","Administration, documents and attachments",1
"455433012",100,"N331H","N331H00","Collapse of cervical vertebra due to osteoporosis","311806008","455433012","Conditions, operations and procedures",1
"6517651000006118",100,"^ESCTOS651765","","Osteoporosis exercise education","391026001","2576222019","Health management, screening and monitoring",1
"1485040017",200,"9Od7","9Od7.00","Osteoporosis monitoring telephone invitation","391011003","1485040017","Administration, documents and attachments",1
"1485057018",200,"66aA","66aA.00","Osteoporosis - treatment response","391028000","1485057018","Health management, screening and monitoring",1
"40871000006119",200,"N331A","N331A00","Osteoporosis with pathological fracture of cervical vertebrae","203452006","312164012","Conditions, operations and procedures",1
"6517621000006110",200,"^ESCTOS651762","","Osteoporosis dietary education","391024003","2576221014","Health management, screening and monitoring",1
"6549131000006116",300,"^ESCTOS654913","","Osteoporosis health education","394936006","2576202018","Personal Health and Social",1
"1485033018",400,"9Od0","9Od0.00","Attends osteoporosis monitoring","391004002","1485033018","Administration, documents and attachments",1
"312159013",400,"N3315","N331500","Drug-induced osteoporosis with pathological fracture","203447001","312159013","Allergy and adverse drug reactions",1
"312681016",400,"NyuB0","NyuB000","[X]Other osteoporosis with pathological fracture","443165006","2837900019","Conditions, operations and procedures",1
"1485037017",600,"9Od4","9Od4.00","Osteoporosis monitoring second letter","391008004","1485037017","Administration, documents and attachments",1
"1484866013",700,"N330D","N330D00","Osteoporosis due to corticosteroids","390833005","1484866013","Conditions, operations and procedures",1
"1485051017",700,"66a4","66a4.00","Osteoporosis treatment changed","391022004","1485051017","Health management, screening and monitoring",1
"1754951000006110",700,"9hP","9hP..00","Exception reporting - osteoporosis quality indicators","753711000000102","1658011000000115","Administration, documents and attachments",1
"312682011",700,"NyuB1","NyuB100","[X]Other osteoporosis","64859006","107806013","Conditions, operations and procedures",1
"1485042013",800,"9Od9","9Od9.00","Osteoporosis monitoring check done","391013000","1485042013","Administration, documents and attachments",1
"1485052012",1000,"66a5","66a5.00","Osteoporosis - no treatment","391023009","1485052012","Health management, screening and monitoring",1
"312160015",1000,"N3316","N331600","Idiopathic osteoporosis with pathological fracture","203448006","312160015","Conditions, operations and procedures",1
"312165013",1000,"N331B","N331B00","Postmenopausal osteoporosis with pathological fracture","203453001","312165013","Conditions, operations and procedures",1
