"snomedctconceptid","medcodeid","cleansedreadcode","snomedctdescriptionid","term","pneumonia","lrti","pneumonia_lrti","hospital_acquired_pneumonia"
"74644004","885261000006111","H27y099","885261000006111","influenza + encephalopathy",0,1,"lrti",0
"35301006","58909014","H060500","58909014","acute tracheobronchitis",0,1,"lrti",0
"315642008","460161011","16L..00","460161011","influenza-like symptoms",0,1,"lrti",0
"55604004","92429016","H29..00","92429016","avian influenza",0,1,"lrti",0
"6142004","387051000006110","Hyu0400","11203012","[x]flu+oth respiratory manifestations,'flu virus identified",0,1,"lrti",0
"195742007","457801000006117","H062.00","301131016","acute lower respiratory tract infection",0,1,"lrti",0
"440927002","676841000000114","4JU1.00","3034688012","influenza h2 virus detected",0,1,"lrti",0
"233599001","350044014","H060A00","350044014","acute bronchitis due to mycoplasma pneumoniae",0,1,"lrti",0
"32398004","350041018","H30..11","54101019","chest infection - unspecified bronchitis",0,1,"lrti",0
"233598009","301121011","H060x00","350042013","acute bacterial bronchitis unspecified",0,1,"lrti",0
"1033091000000109","1988651000006113","","2608991000000117","influenza with othr resp manifestation due to seasonal virus",0,1,"lrti",0
"6142004","11203012","H27..00","11203012","influenza",0,1,"lrti",0
"6142004","301415015","H271.00","11203012","influenza with other respiratory manifestation",0,1,"lrti",0
"2397631000033105","2397631000033114","","2397631000033114","influenza myl",0,1,"lrti",0
"195726000","456021000006115","H060C00","301114011","acute bronchitis due to parainfluenza virus",0,1,"lrti",0
"195727009","4780491000006118","","301115012","acute respiratory syncytial virus bronchitis",0,1,"lrti",0
"445102008","7302861000006118","","3291849011","bronchiolitis caused by human metapneumovirus",0,1,"lrti",0
"1033051000000101","2608911000000114","","2608911000000114","influenza due to zoonotic influenza virus",0,1,"lrti",0
"195728004","4780511000006112","","3290504011","acute bronchitis caused by rhinovirus",0,1,"lrti",0
"195725001","4780461000006114","","301113017","acute coxsackieviral bronchitis",0,1,"lrti",0
"195729007","456001000006113","H060F00","301117016","acute bronchitis due to echovirus",0,1,"lrti",0
"195722003","4780421000006115","","2470034017","acute moraxella catarrhalis bronchitis",0,1,"lrti",0
"1029911000000100","2175841000000116","43wD.00","2595561000000119","influenza b nucleic acid detection",0,1,"lrti",0
"195647007","300997012","H0...00","300997012","acute respiratory infections",0,1,"lrti",0
"445102008","7302821000006112","","2872685013","bronchiolitis due to human metapneumovirus",0,1,"lrti",0
"195725001","455991000006112","H060B00","301112010","acute bronchitis due to coxsackievirus",0,1,"lrti",0
"442696006","1128141000000118","H2A..11","1128141000000118","influenza a (h1n1) swine flu",0,1,"lrti",0
"195729007","4780541000006111","","3035673014","acute bronchitis due to echovirus",0,1,"lrti",0
"195725001","4780451000006112","","301112010","acute coxsackievirus bronchitis",0,1,"lrti",0
"445102008","1816261000006119","H061700","2988948018","acute bronchiolitis due to human metapneumovirus",0,1,"lrti",0
"195729007","4780531000006118","","301118014","acute echoviral bronchitis",0,1,"lrti",0
"95891005","4063911000006112","","2920741013","influenza like illness",0,1,"lrti",0
"50417007","733471000006110","H06z100","83992015","lower resp tract infection",0,1,"lrti",0
"441343005","676961000000116","4JU3.00","2882423016","influenza h5 virus detected",0,1,"lrti",0
"843921000033101","843921000033117","","843921000033117","*influenza & common cold",0,1,"lrti",0
"6142004","389891000006119","Hyu0700","11203012","[x]influenza+other manifestations, virus not identified",0,1,"lrti",0
"233599001","5053331000006119","","350043015","acute mycoplasmal bronchitis",0,1,"lrti",0
"6142004","301418018","H271z00","11203012","influenza with respiratory manifestations nos",0,1,"lrti",0
"442696006","2820795016","H2A..00","2820795016","influenza due to influenza a virus subtype h1n1",0,1,"lrti",0
"195742007","301819015","Hyu1.00","301131016","[x]other acute lower respiratory infections",0,1,"lrti",0
"50417007","3316401000006114","","1230862016","lrti - lower respiratory tract infection",0,1,"lrti",0
"4120002","2564641000006110","","8354017","bronchiolitis",0,1,"lrti",0
"233602006","301129013","H061600","350047019","acute bronchiolitis due to other specified organisms",0,1,"lrti",0
"50417007","396090018","H06z000","83992015","chest infection nos",0,1,"lrti",0
"195726000","4780481000006116","","301114011","acute parainfluenza virus bronchitis",0,1,"lrti",0
"55735004","92677014","A79A.00","92677014","respiratory syncytial virus infection",0,1,"lrti",0
"441344004","689941000000115","4JUF.00","2790535011","human parainfluenza virus detected",0,1,"lrti",0
"55735004","3405411000006114","","1231522017","rsv - respiratory syncytial virus infection",0,1,"lrti",0
"195729007","4780521000006116","","301117016","acute echovirus bronchitis",0,1,"lrti",0
"195742007","579878017","H06z112","301131016","acute lower respiratory tract infection",0,1,"lrti",0
"95891005","778711000006116","H27z.12","158839016","influenza like illness",0,1,"lrti",0
"195714005","2475602011","H060400","2475602011","acute croupous bronchitis",0,1,"lrti",0
"709410003","7649691000006115","","3039757019","haemophilus influenzae type b infection",0,1,"lrti",0
"1029901000000102","2115571000000116","43w9.00","2597071000000110","parainfluenza type 4 nucleic acid detection",0,1,"lrti",0
"91428005","288067017","Ayu3U00","151462017","[x]haemophilus influenzae infection, unspecified",0,1,"lrti",0
"441043003","676781000000110","4JU0.00","2882417014","influenza h1 virus detected",0,1,"lrti",0
"445102008","7302851000006115","","3291618016","acute bronchiolitis caused by human metapneumovirus",0,1,"lrti",0
"195902009","546511000006112","H24..11","301388014","chest infection with infectious disease ec",0,1,"lrti",0
"5505005","301821013","Hyu1100","10187013","[x]acute bronchiolitis due to other specified organisms",0,1,"lrti",0
"711330007","1126371000000114","4J3L.00","3078435012","influenza a virus h1n1 subtype detected",0,1,"lrti",0
"709410003","7649701000006115","","2496051000000114","hib (haemophilus influenzae type b) infection",0,1,"lrti",0
"195712009","301095014","H06..00","2820607014","acute bronchitis and bronchiolitis",0,1,"lrti",0
"312371005","301820014","Hyu1000","456072011","[x]acute bronchitis due to other specified organisms",0,1,"lrti",0
"195728004","301116013","H060E00","301116013","acute bronchitis due to rhinovirus",0,1,"lrti",0
"195737004","301126018","H061300","301126018","acute exudative bronchiolitis",0,1,"lrti",0
"637921000000108","885051000006117","H0z..99","885051000006117","acute resp. infection nos",0,1,"lrti",0
"195739001","301128017","H061500","301128017","acute bronchiolitis due to respiratory syncytial virus",0,1,"lrti",0
"6142004","301424012","H27yz00","11203012","influenza with other manifestations nos",0,1,"lrti",0
"1033071000000105","2608951000000113","","2608951000000113","influenza due to pandemic influenza virus",0,1,"lrti",0
"6142004","301421016","H27y.00","11203012","influenza with other manifestations",0,1,"lrti",0
"442696006","7267051000006117","","2820794017","influenza a (h1n1)",0,1,"lrti",0
"275499005","411490016","H060.11","411490016","acute wheezy bronchitis",0,1,"lrti",0
"637921000000108","12726371000006114","","1405301000000117","acute respiratory infection nos",0,1,"lrti",0
"1707241000006104","1707241000006115","","1707241000006115","swine influenza",0,1,"lrti",0
"195739001","4780571000006115","","3290582012","acute bronchiolitis caused by respiratory syncytial virus",0,1,"lrti",0
"195721005","301108016","H060800","301108016","acute haemophilus influenzae bronchitis",0,1,"lrti",0
"195647007","301144014","H0y..00","300997012","other specified acute respiratory infections",0,1,"lrti",0
"195722003","301109012","H060900","301109012","acute neisseria catarrhalis bronchitis",0,1,"lrti",0
"195647007","4780011000006115","","300998019","ari - acute respiratory infections",0,1,"lrti",0
"10509002","301122016","H060z00","18268014","acute bronchitis nos",0,1,"lrti",0
"1033091000000109","1988661000006110","","2608991000000117","influenza with other manifestations due to seasonl inf virus",0,1,"lrti",0
"195719000","301105018","H060600","301105018","acute pneumococcal bronchitis",0,1,"lrti",0
"5505005","10187013","H061.00","10187013","acute bronchiolitis",0,1,"lrti",0
"10509002","18268014","H060.00","18268014","acute bronchitis",0,1,"lrti",0
"91428005","151462017","A3B5.00","151462017","haemophilus influenzae infection",0,1,"lrti",0
"906821000033102","906821000033118","","906821000033118","haemophilus influenzae (lyophilized bacterial lysates)",0,1,"lrti",0
"6142004","396106019","H27z.00","11203012","influenza nos",0,1,"lrti",0
"195742007","546411000006111","H06z011","301131016","chest infection",0,1,"lrti",0
"10509002","885041000006119","H06..99","885041000006119","acute bronchitis/bronchiolitis",0,1,"lrti",0
"6142004","389901000006115","Hyu0500","11203012","[x]influenza+other manifestations,influenza virus identified",0,1,"lrti",0
"195923003","301416019","H271000","301416019","influenza with laryngitis",0,1,"lrti",0
"15199004","25801011","H061200","25801011","acute bronchiolitis with bronchospasm",0,1,"lrti",0
"1029741000000101","353591000000117","43jy.00","2597051000000118","parainfluenza type 2 nucleic acid detection",0,1,"lrti",0
"195717003","301103013","H060300","301103013","acute purulent bronchitis",0,1,"lrti",0
"441345003","677081000000114","4JU5.00","2794563017","influenza b virus detected",0,1,"lrti",0
"36426008","301119018","H060v00","60783018","subacute bronchitis unspecified",0,1,"lrti",0
"10509002","301132011","H06z.00","18268014","acute bronchitis or bronchiolitis nos",0,1,"lrti",0
"275498002","175471000006116","H5yy.11","411488017","respiratory infection nos",0,1,"lrti",0
"441049004","676901000000115","4JU2.00","2882421019","influenza h3 virus detected",0,1,"lrti",0
"359351000000100","677021000000113","4JU4.00","676741000000119","influenza a virus, other or untyped strain detected",0,1,"lrti",0
"233602006","5053371000006116","","350047019","acute viral bronchiolitis",0,1,"lrti",0
"195725001","4780471000006119","","3300309019","acute bronchitis caused by coxsackievirus",0,1,"lrti",0
"233601004","301120012","H060w00","350046011","acute viral bronchitis unspecified",0,1,"lrti",0
"442696006","7267061000006115","","3291265019","influenza caused by influenza a virus subtype h1n1",0,1,"lrti",0
"275498002","411488017","H06z111","411488017","respiratory tract infection",0,1,"lrti",0
"195924009","301417011","H271100","301417011","influenza with pharyngitis",0,1,"lrti",0
"1029731000000105","353561000000111","43jx.00","2595621000000111","parainfluenza type 1 nucleic acid detection",0,1,"lrti",0
"907511000006105","907511000006114","","907511000006114","[rfc] chest infection",0,1,"lrti",0
"1029751000000103","353621000000119","43jz.00","2597061000000115","parainfluenza type 3 nucleic acid detection",0,1,"lrti",0
"195647007","301145010","H0z..00","2817368013","acute respiratory infection nos",0,1,"lrti",0
"1031631000000102","312571000000119","43jQ.00","2595321000000118","avian influenza virus nucleic acid detection",0,1,"lrti",0
"275498002","5573831000006110","","411489013","rti - respiratory tract infection",0,1,"lrti",0
"195727009","456031000006117","H060D00","301115012","acute bronchitis due to respiratory syncytial virus",0,1,"lrti",0
"1033091000000109","2608991000000117","","2608991000000117","influenza due to seasonal influenza virus",0,1,"lrti",0
"195712009","12717061000006114","","2820607014","acute bronchitis and/or bronchiolitis",0,1,"lrti",0
"309789002","5992751000006117","","453273018","encephalitis due to influenza",0,1,"lrti",0
"50417007","3316381000006114","","83996017","lower respiratory infection",0,1,"lrti",0
"195720006","301106017","H060700","301106017","acute streptococcal bronchitis",0,1,"lrti",0
"5505005","301130015","H061z00","10187013","acute bronchiolitis nos",0,1,"lrti",0
"312342009","396104016","H24..00","456043010","pneumonia with infectious diseases ec",1,0,"pneumonia",0
"80003002","132731014","A116.00","132731014","tuberculous pneumonia",1,0,"pneumonia",0
"233624006","350073012","A54x400","350073012","herpes simplex pneumonia",1,0,"pneumonia",0
"409801009","6784561000006113","","2471533010","esbl klebsiella pneumoniae",1,0,"pneumonia",0
"46970008","3259121000006116","","494704011","mycoplasma pneumoniae pneumonia",1,0,"pneumonia",0
"308906005","5983281000006111","","452294011","secondary bacterial pneumonia",1,0,"pneumonia",0
"75570004","301814013","Hyu0D00","125510013","[x]pneumonia in viral diseases classified elsewhere",1,0,"pneumonia",0
"408679000","6765531000006117","","2470540015","healthcare associated pneumonia",1,0,"pneumonia",1
"186435004","4741931000006113","","2792212017","bacterial infection due to klebsiella pneumoniae",1,0,"pneumonia",0
"70036007","219851000006115","H222.11","116320011","pneumonia due to haemophilus influenzae",1,0,"pneumonia",0
"312342009","301812012","Hyu0B00","456043010","[x]pneumonia due to other specified infectious organisms",1,0,"pneumonia",0
