"medcodeid","originalreadcode","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","term","JKQ","code_decision"
"8439271000006114","^ESCTDI843927","","1066351000000102","2678131000000114","discharge to hospital at home service",0,""
"8439451000006115","^ESCTRE843945","","1066431000000102","2678351000000117","referred by hospital emergency department",0,""
"8453021000006115","^ESCTEM845302","","1077991000000101","2702801000000111","emergency hospital admission to thoracic surgery service",0,""
"8453071000006119","^ESCTEM845307","","1078041000000108","2702931000000114","emergency hospital admission to general surgical service",0,""
"8453331000006119","^ESCTEM845333","","1078281000000107","2703411000000117","emergency hospital admission to critical care medicine service",0,""
"8453341000006112","^ESCTEM845334","","1078291000000109","2703431000000113","emergency hospital admission to general medical service",0,""
"8453391000006115","^ESCTEM845339","","1078331000000102","2703511000000118","emergency hospital admission to intermediate care service",0,""
"8453701000006111","^ESCTEM845370","","1078571000000107","2704031000000117","emergency hospital admission to trauma and orthopaedics service",0,""
"8454771000006115","^ESCTEM845477","","1079351000000103","2705701000000112","emergency hospital admission to rehabilitation service",0,""
"154821000000113","9N6J","9N6J.00","108161000000109","154821000000113","referred by gp",0,""
"8458471000006117","^ESCTEM845847","","1082421000000101","2712531000000116","emergency hospital admission to accident and emergency service",0,""
"2714571000000110","ESCTSI47","","1083251000000101","2714571000000110","signposting to hospital transport service",0,""
"2716561000000110","ESCTSI62","","1084071000000104","2716561000000110","signposting to gp (general practitioner)",0,""
"2716631000000116","ESCTSI64","","1084101000000108","2716631000000116","signposting to hospital admissions avoidance service",0,""
"2717171000000114","ESCTSI75","","1084361000000109","2717171000000114","signposting to gp (general practitioner) secretary",0,""
"2718971000000110","ESCTSI90","","1085201000000103","2718971000000110","signposting to general practice based physiotherapist",0,""
"2719071000000118","ESCTSI91","","1085251000000102","2719071000000118","signposting to general practice extended hours service",0,""
"2719291000000113","ESCTSI94","","1085361000000108","2719291000000113","signposting to general practice administration team",0,""
"2721641000000111","ESCTSI98","","1086411000000108","2721641000000111","signposting to hospital department",0,""
"2731691000000116","^ESCT1171873","","1090411000000105","2731691000000116","referral to general practice service",0,""
"155921000000119","9b0x","9b0x.00","109341000000100","155921000000119","gp to gp generated transaction",0,""
"2743611000000111","^ESCT1172414","","1095401000000103","2743611000000111","assistance with gp (general practitioner) practice registration",0,""
"1488460015","9b10","9b10.00","1101131000000105","2756641000000116","general practice (organisation)",0,""
"1488475011","9b1F","9b1F.00","1101191000000106","2756781000000116","gp practice",0,""
"1488479017","9b1J","9b1J.00","1101221000000104","2753511000000114","mod hospital",0,""
"8035111000006116","^ESCTRE803511","","110801000000101","2234941000000114","recommendation to general practitioner to stop patient medication",0,""
"12626721000006115","^ESCT1262672","","1111291000000104","2780601000000110","signposting to gp (general practitioner) video consultation",0,""
"4213461000006110","^ESCTHO421346","","112689000","183608014","hospital admission, elective, with complete pre-admission work-up",0,""
"189681000000118","8He0","8He0.00","112951000000109","189681000000118","referral to intermediate care - hospital at home",0,""
"11990161000006115","EMISNQON37","","11990161000006104","11990161000006115","online triage outcome - patient to make appointment with gp",0,""
"12734311000006114","^ESCT1273431","","143371000000104","1628221000000115","qof (quality and outcomes framework) chronic obstructive pulmonary disease quality indicator-related care invitation using preferred method of communication",0,""
"2747211000006110","^ESCTHO274721","","15584006","26422018","hospital admission, elective, with partial pre-admission work-up",0,""
"1563141000006117","EMISNQHO6","","1563141000006101","1563141000006117","hospital opd",2,"maybe - project-specific"
"1563381000006113","EMISNQHO8","","1563381000006109","1563381000006113","hospital inpatient",0,""
"1563721000006113","EMISNQPR17","","1563721000006109","1563721000006113","private hospital",0,""
"1563971000006111","EMISNQGE20","","1563971000006107","1563971000006111","general medical practice",0,""
"1576721000006112","EGONT4476613","","1576721000006108","1576721000006112","verbal reminder for next hospital appointment",0,""
"1577891000006118","TRISIN4","","1577891000006102","1577891000006118","intention to admit",0,""
"1578031000006112","TRISIN14","","1578031000006108","1578031000006112","intention to admit general surgery",0,""
"1578111000006119","TRISIN5","","1578111000006103","1578111000006119","intention to admit general medicine",0,""
"1583651000006112","TRIQQAD10","","1583651000006108","1583651000006112","admitted: hospital",0,""
"1583701000006118","TRIQQAD11","","1583701000006102","1583701000006118","admitted medical centre/mrs",0,""
"247764018","03DA","03DA.00","158971006","247764018","hospital registrar",0,""
"248060019","0537","0537.00","159155000","248060019","hospital physicist",0,""
"1594081000006114","TRICPGM34","","1594081000006105","1594081000006114","date pt admitted (general medicine)",0,""
"1594091000006112","TRICPGM35","","1594091000006108","1594091000006112","place to which pt admitted (general medicine)",0,""
"1594131000006114","TRICPGM39","","1594131000006105","1594131000006114","hospital admission not required (general medicine)",0,""
"1594641000006111","TRICPGS35","","1594641000006107","1594641000006111","place to which pt admitted (gen surg)",0,""
"1594681000006117","TRICPGS39","","1594681000006101","1594681000006117","hospital admission not required (gen surg)",0,""
"250569018","13FS","13FS.00","160741006","250569018","long stay hospital inpatient",0,""
"1626461000006119","EMISD_RE76","","1626461000006103","1626461000006119","referral to general medical practice",0,""
"1638711000006114","EMISNQPR34","","1638711000006105","1638711000006114","primary care nurse triage assessment- gp appointment recommended",0,""
"1638761000006112","EMISNQPR39","","1638761000006108","1638761000006112","primary care nurse triage assessment - gp appointment made",0,""
"1653941000006117","EMISNQGP1","","1653941000006101","1653941000006117","gp appointment not available",0,""
"1653951000006115","EMISNQUN7","","1653951000006104","1653951000006115","unsuccessful attempt to contact gp by telephone",0,""
"1672551000006118","EMISNQHO18","","1672551000006102","1672551000006118","hospital department",0,""
"1672651000006117","EMISNQRE80","","1672651000006101","1672651000006117","referral",2,"maybe - project-specific"
"1578061000006115","TRISIN17","","1578061000006104","1578061000006115","intention to admit paediatric",0,""
"1672871000006114","EMISNQRE82","","1672871000006105","1672871000006114","gp surgery",0,""
"1673631000006119","EMISNQRE83","","1673631000006103","1673631000006119","recommendation to gp to refer patient",0,""
"1673641000006112","EMISNQRE84","","1673641000006108","1673641000006112","recommendation to gp for fast track patient referral",0,""
"2769631000006119","^ESCTDE276963","","16983000","28745019","death in hospital",0,""
"751121000006119","6611","6611.00","170551006","264439017","last hospital inpatient",0,""
"1707251000006118","EMISNQRE102","","1707251000006102","1707251000006118","refused advice to contact gp out of hours service",0,""
"1707291000006112","EMISNQRE105","","1707291000006108","1707291000006112","referral to general surgery special interest gp",0,""
"264929016","66R8","66R8.00","170930003","2770169013","repeat prescription reviewed by hospital",0,""
"146841000006119","66S4","66S4.00","170936009","264939010","shared care - hospice and gp",0,""
"146861000006115","66S5","66S5.00","170937000","264940012","shared care: district nurse and gp",0,""
"146891000006111","66S8","66S8.00","170940000","264943014","shared care: practice nurse and gp",0,""
"264944015","66S9","66S9.00","170941001","264944015","full care by gp",0,""
"675421000006116","68RZ","68RZ.00","171324002","265487018","new patient screen nos",0,""
"291911000006114","69F1","69F1.00","171424003","265631018","'section' examination - patient's gp",0,""
