"prodcodeid","smoking_cessation","term"
"1768241000033116",1,"Nicorette Inhalator Inhalation cartridge with mouthpiece (starter pack) 10 mg/cartridge"
"1768341000033114",1,"Nicotine Inhalation cartridge with mouthpiece (starter pack) 10 mg/cartridge"
"2280441000033111",1,"Nicotinell Chewing gum 2 mg"
"2280541000033112",1,"Nicotinell Chewing gum 4 mg"
"2280741000033116",1,NA
"2654141000033118",1,"Niquitin Lozenges 2 mg"
"2654241000033113",1,"Niquitin Lozenges 4 mg"
"2795441000033114",1,"Nicotine Chewing gum (mint) Sugar Free 4 mg"
"2795641000033111",1,"Nicotine Chewing gum (mint) Sugar Free 2 mg"
"2975241000033114",1,"Nicotine Lozenges (Mint) Sugar Free 2 mg"
"2975341000033116",1,"Nicotine Lozenges (Mint) Sugar Free 4 mg"
"4186741000033113",1,"Nicorette Chewing gum Freshfruit, 2 mg"
"4186841000033115",1,"Nicorette Chewing gum Freshfruit, 4 mg"
"4188341000033113",1,NA
"4500641000033111",1,"Nicorette Chewing gum Cinnamint, 2 mg"
"4500741000033119",1,"Nicorette Chewing gum Cinnamint, 4 mg"
"968441000033111",1,"Nicorette Chewing gum 2 mg"
"968541000033112",1,"Nicorette Chewing gum 4 mg"
"970341000033114",1,"Nicorette Inhalator Inhalation cartridge with mouthpiece (refill) 10 mg/cartridge"
"970441000033115",1,"Nicotine Inhalation cartridge with mouthpiece (refill) 10 mg/cartridge"
"978141000033114",1,"Nicabate Transdermal patches 14 mg"
"978241000033119",1,"Nicabate Transdermal patches 21 mg"
"978341000033112",1,"Nicabate Transdermal patches 7 mg"
"978441000033118",1,"Niconil Transdermal patches 11 mg/24 hrs"
"978541000033117",1,"Niconil Transdermal patches 22 mg/24 hrs"
"4270541000033111",1,"Boots NicAssist 5mg patches (The Boots Company Plc)"
"4270341000033116",1,"Boots NicAssist 10mg patches (The Boots Company Plc)"
"4270441000033110",1,"Boots NicAssist 15mg patches (The Boots Company Plc)"
"9599141000033110",1,"Nicorette Fruitfusion 2mg medicated chewing gum (McNeil Products Ltd)"
"9603241000033114",1,"Nicorette Fruitfusion 4mg medicated chewing gum (McNeil Products Ltd)"
