"medcodeid","originalreadcode","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","emiscodecategoryid","term","smoking_status","drugs","passive","vape","smokeless_tobacco","gp_recorded_smoking","ever_smoker"
"854951000006113","EGTONGR10","","854951000006109","854951000006113","Diagnostics","Grade A non-smoker","Never smoker",NA,NA,NA,NA,1,NA
"1123751000000113","9kn","9kn..00","505681000000109","1154431000000112","Administration, documents and attachments","Non-smoker annual review - enhanced services administration","Never smoker",NA,NA,NA,NA,1,NA
"3926051000006118","^ESCTTO392605","","87739003","145469012","Unset","Tolerant non-smoker","Never smoker",NA,NA,NA,NA,1,NA
"397732011","1371","1371.00","266919005","397732011","Personal Health and Social","Never smoked tobacco","Never smoker",NA,NA,NA,NA,1,NA
"4120301000006118","^ESCTNO412030","","105541001","169636015","Unset","Non-smoker for medical reasons","Never smoker",NA,NA,NA,NA,1,NA
"7569061000006118","^ESCTNE756906","","702979003","3006734013","Unset","Never used tobacco","Never smoker",NA,NA,NA,NA,1,NA
"1009271000006118","ASDFGNO1","","1009271000006102","1009271000006118","Personal Health and Social","Non Smoker - Nos","Never smoker",NA,NA,NA,NA,1,NA
"6217461000006110","^ESCTAG621746","","360918006","476968013","Unset","Aggressive non-smoker","Never smoker",NA,NA,NA,NA,1,NA
"14866014","1371-1","1371.11","8392000","14866014","Personal Health and Social","Non-smoker","Never smoker",NA,NA,NA,NA,1,NA
"7965041000006111","^ESCTNE796504","","221000119102","2916218010","Unset","Never smoked any substance","Never smoker",NA,NA,NA,NA,1,NA
"5495921000006119","^ESCTNE549592","","266919005","397731016","Personal Health and Social","Never smoked","Never smoker",NA,NA,NA,NA,1,NA
"6217561000006111","^ESCTIN621756","","360929005","476979015","Unset","Intolerant non-smoker","Never smoker",NA,NA,NA,NA,1,NA
"1154431000000112","9kn-1","9kn..11","505681000000109","1154431000000112","Administration, documents and attachments","Non-smoker annual review","Never smoker",NA,NA,NA,NA,1,NA
"4120291000006119","^ESCTNO412029","","105540000","169635016","Unset","Non-smoker for religious reasons","Never smoker",NA,NA,NA,NA,1,NA
"4120281000006117","^ESCTNO412028","","105539002","169634017","Unset","Non-smoker for personal reasons","Never smoker",NA,NA,NA,NA,1,NA
"12490251000006112","^ESCT1249025","","1221000119103","2966944018","Unset","History of tobacco use","Ex-smoker",NA,NA,NA,NA,1,1
"4980561000006117","^ESCTTI498056","","228486009","342573017","Unset","Time since stopped smoking","Ex-smoker",NA,NA,NA,NA,1,1
"137761000006114","EGTONSM4","","137761000006105","137761000006114","Personal Health and Social","Smoking Age Ceased","Ex-smoker",NA,NA,NA,NA,1,1
"298701000000114","ZV116","ZV11600","8517006","15047015","Personal Health and Social","History of tobacco use","Ex-smoker",NA,NA,NA,NA,1,1
"7967851000006114","^ESCTAG796785","","1221000175102","3027295012","Unset","Age at smoking cessation","Ex-smoker",NA,NA,NA,NA,1,1
"903051000006112","137L-99","137L.99","160618006","903051000006112","Personal Health and Social","Tobacco Consumption Nil","Ex-smoker",NA,NA,NA,NA,1,1
"5496031000006112","^ESCTEX549603","","266928006","397744014","Personal Health and Social","Ex-cigarette smoker amount unknown","Ex-smoker",NA,NA,NA,NA,1,1
"11793611000006110","^ESCT1179361","","384742004","3513200015","Unset","Smoking cessation behaviour support","Ex-smoker",NA,NA,NA,NA,1,1
"250371017","137F","137F.00","8517006","15047015","Personal Health and Social","Ex-smoker - amount unknown","Ex-smoker",NA,NA,NA,NA,1,1
"7230801000006118","^ESCTSM723080","","440012000","2793849010","Unset","Smoking cessation behaviour","Ex-smoker",NA,NA,NA,NA,1,1
"2735181000000113","^ESCT1172035","","1092031000000108","2735181000000113","Unset","Ex-smoker amount unknown","Ex-smoker",NA,NA,NA,NA,1,1
