"medcodeid","term","sputum","cleansedreadcode","snomedctconceptid","snomedctdescriptionid","sent","positive","abnormal"
"885281000006118","mucopurulent chr. bronchitis",1,"H311.99","74417001","885281000006118",1,0,1
"131721000006111","sputum appears infected",1,"4E3Z.12","275719008","411654018",1,1,1
"301448015","mucopurulent chronic bronchitis nos",1,"H311z00","74417001","123588010",1,0,1
"414638017","grey sputum",1,"4E2F.00","277900008","414638017",1,0,1
"414649011","brown sputum",1,"4E2C.00","277910004","414649011",1,0,1
"252352012","productive cough -green sputum",1,"1714.00","161924005","252352012",1,0,1
"2226201000000110","pale green sputum",1,"4E29100","860761000000104","2226201000000110",1,0,1
"260965017","sputum: pus cells present",1,"4E36.00","168001007","260965017",1,0,1
"317414017","abnormal sputum",1,"R064.00","274708000","410550010",1,0,1
"493627015","sputum: fetid/offensive",1,"4E26.00","43516009","493627015",1,0,1
"317417012","sputum abnormal - colour",1,"R064100","271827002","406806019",1,0,1
"414647013","green sputum",1,"4E29.00","277908001","414647013",1,0,1
"1834121000006118","pale green sputum",1,"","1834121000006102","1834121000006118",1,0,1
"252353019","productive cough-yellow sputum",1,"1715.00","161925006","252353019",1,0,1
"301456017","mixed simple and mucopurulent chronic bronchitis",1,"H313.00","195953005","301456017",1,0,1
"317420016","[d]abnormal sputum - tenacious",1,"R064300","274708000","410550010",1,0,1
"2226161000000119","dark green sputum",1,"4E29000","860741000000100","2226161000000119",1,0,1
"414646016","yellow sputum",1,"4E28.00","277907006","414646016",1,0,1
"301103013","acute purulent bronchitis",1,"H060300","195717003","301103013",1,0,1
"1834111000006114","dark green sputum",1,"","1834111000006105","1834111000006114",1,0,1
"317418019","sputum abnormal - odour",1,"R064200","271828007","406809014",1,0,1
"317421017","[d]abnormal sputum nos",1,"R064z00","274708000","410550010",1,0,1
"506053014","purulent chronic bronchitis",1,"H311000","84409004","506053014",1,0,1
"1709311000006116","brown sputum",1,"","1709311000006100","1709311000006116",1,0,1
"260949018","sputum examination: abnormal",1,"4E13.00","167986000","260949018",1,0,1
"411654018","sputum evidence of infection",1,"4E3Z.11","275719008","411654018",1,1,1
"123588010","mucopurulent chronic bronchitis",1,"H311.00","74417001","123588010",1,0,1
"961811000006117","abnormal sputum",1,"","961811000006101","961811000006117",1,0,1
"132001000006112","mucopurulent sputum",1,"4E23.00","8955008","508569015",1,0,1
