"snomedctconceptid","medcodeid","cleansedreadcode","snomedctdescriptionid","term","jkq","date_jkq_approved","search_terms"
"755581000000101","1667621000000114","R060E00","1667621000000114","[d]mild wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755591000000104","1667631000000111","R060F00","1667631000000111","[d]moderate wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755601000000105","1667641000000119","R060G00","1667641000000119","[d]severe wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755611000000107","1667651000000116","R060H00","1667651000000116","[d]very severe wheeze",1,"April2022","*wheez*, *whistl*breath*"
"704114003","1706101000000118","232H.00","3011358019","on examination - inspiratory wheeze",1,"April2022","*wheez*, *whistl*breath*"
"1834141000006109","1834141000006113","","1834141000006113","constant wheeze",1,"April2022","*wheez*, *whistl*breath*"
"405944004","2163183015","H302.00","2163183015","wheezy bronchitis",1,"April2022","*wheez*, *whistl*breath*"
"867311000000104","2241471000000111","1737000","2241471000000111","constant wheezing",1,"April2022","*wheez*, *whistl*breath*"
"926181000000107","2374691000000117","1737100","2374691000000117","wheezing in absence of colds",1,"April2022","*wheez*, *whistl*breath*"
"161947006","252406018","173B.00","252406018","nocturnal cough / wheeze",1,"April2022","*wheez*, *whistl*breath*"
"162894004","253894014","2326.00","253894014","o/e - expiratory wheeze",1,"April2022","*wheez*, *whistl*breath*"
"170612008","264514012","6635.00","264514012","increasing exercise wheeze",1,"April2022","*wheez*, *whistl*breath*"
"9763007","2655531000006117","","17069011","expiratory wheezing",1,"April2022","*wheez*, *whistl*breath*"
"9763007","2655541000006110","","512852013","expiratory wheeze",1,"April2022","*wheez*, *whistl*breath*"
"24612001","2892871000006111","","481967014","wheeze - rhonchi",1,"April2022","*wheez*, *whistl*breath*"
"31572008","3008581000006118","","52778019","inspiratory wheezing",1,"April2022","*wheez*, *whistl*breath*"
"56018004","317393013","R060900","93172014","[d]wheezing",1,"April2022","*wheez*, *whistl*breath*"
"56018004","3410141000006112","","93176012","wheeze",1,"April2022","*wheez*, *whistl*breath*"
"56018004","3410151000006114","","497493019","wheezy",1,"April2022","*wheez*, *whistl*breath*"
"272040008","407082013","1737.11","407082013","wheezing symptom",1,"April2022","*wheez*, *whistl*breath*"
"276191000000107","473141000000114","173e.00","473141000000114","viral wheeze",1,"April2022","*wheez*, *whistl*breath*"
"276191000000107","494261000000111","173e.11","494261000000111","viral induced wheeze",1,"April2022","*wheez*, *whistl*breath*"
"301703002","5897201000006117","","443095016","expiratory polyphonic wheeze",1,"April2022","*wheez*, *whistl*breath*"
"704114003","7586621000006111","","3011065015","o/e - inspiratory wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755581000000101","8232711000006115","","1662621000000112","mild wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755591000000104","8232731000006114","","1662641000000117","moderate wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755601000000105","8232751000006119","","1662661000000116","severe wheeze",1,"April2022","*wheez*, *whistl*breath*"
"755611000000107","8232771000006112","","1662681000000113","very severe wheeze",1,"April2022","*wheez*, *whistl*breath*"
"56018004","93172014","1737.00","93172014","wheezing",1,"April2022","*wheez*, *whistl*breath*"
